"","ID","model","status","mu_UT_MLE","mu_UT_lower_bound","mu_UT_upper_bound","fitm_UT_MLE","fitm_UT_lower_bound","fitm_UT_upper_bound","mu_S_MLE","mu_S_lower_bound","mu_S_upper_bound","fitm_S_MLE","fitm_S_lower_bound","fitm_S_upper_bound","fitm_ratio_MLE","fitm_ratio_lower_bound","fitm_ratio_upper_bound","M_MLE","M_lower_bound","M_upper_bound","mu_off_MLE","mu_off_lower_bound","mu_off_upper_bound","S_MLE","S_lower_bound","S_upper_bound","rel_div_on_MLE","rel_div_on_lower_bound","rel_div_on_upper_bound","f_on_MLE","f_on_lower_bound","f_on_upper_bound","mu_on_MLE","mu_on_lower_bound","mu_on_upper_bound","mu_inc_MLE","mu_inc_lower_bound","mu_inc_upper_bound","AIC","AIC_corr","LL_joint","p_value_joint","LL_UT","p_value_UT","cutoff_count_UT","tail_prob_UT","LL_S","p_value_S","cutoff_count_S","tail_prob_S","LL_test","p_value_test","cutoff_count_test","tail_prob_test","calc_time"
"1","Baharoglu_Amp","no_SIM_wo_fitm","success","2.48221351008975e-08","1.36700547847287e-08","3.75659164288328e-08","1","1","1","2.48221351008975e-08","1.36700547847287e-08","3.75659164288328e-08","1","1","1","1","1","1","1","1","1","2.48221351008975e-08","1.36700547847287e-08","3.75659164288328e-08","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51.7398048879547","53.073138221288","-24.8699024439773","0.3878","-14.6757041207779","0.4904","1764","3.45357977701643e-06","-10.1941983231994","0.2487","1725","2.25987183081501e-06",NA,NA,NA,NA,"0.404078006744385"
"2","Baharoglu_Amp","no_SIM_fitm","success","2.26841870888046e-08","7.70555130650382e-09","4.59572134187617e-08","1.07134861661531","0.670229272607841","1.97907101329271","2.26841870888046e-08","7.70555130650382e-09","4.59572134187617e-08","1.07134861661531","0.670229272607841","1.97907101329271","1","1","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"53.6659307202317","59.6659307202317","-24.8329653601159","0.4836","-14.6174799752866","0.5756","1764","5.02923603623961e-06","-10.2154853848293","0.2855","1725","3.28294523309781e-06",NA,NA,NA,NA,"0.638303995132446"
"3","Baharoglu_Amp","no_SIM_fitm_unconstr","success","2.50197059536754e-08","8.77882116788574e-09","5.10062148146472e-08","0.895820717779933","0.512158305453226","1.75587680010067","2.50197059536754e-08","8.77882116788574e-09","5.10062148146472e-08","1.25845501920218","0.720484847460128","2.69492589791446","1.40480678134007","0.716710317677203","3.00833173918232","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"54.5290598491123","78.5290598491123","-24.2645299245562","0.5275","-14.5384240631402","0.338","1764","1.52126679928628e-06","-9.72610586141594","0.6078","1725","9.60797541487162e-06",NA,NA,NA,NA,"1.23619818687439"
"4","Baharoglu_Amp","hom_wo_fitm","success","1.92339367349197e-08","8.41554295120489e-09","3.25941891567763e-08","1","1","1","4.97663178234632e-08","2.1886500484687e-08","7.93050142706066e-08","1","1","1","1","1","1","2.58742235192607","1.13791059970326","5.91361937215684",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-41.9606046971772","-35.9606046971772","-22.9803023485886","0.7042","-14.30925515805","0.4211","1764","2.62514209205807e-06","-8.67104719053857","0.9262","1725","4.79410437501202e-06","-9.63003889358952","0.255","1725","1.72930002396227e-06","0.37244701385498"
"5","Baharoglu_Amp","hom_fitm","success","2.43770492257953e-08","8.55065025947664e-09","4.93455272515025e-08","0.809444541393878","0.491273123626822","1.46408294758818","6.57077639876762e-08","1.97752019060708e-08","1.16726512334801e-07","0.809444541393878","0.491273123626822","1.46408294758818","1","1","1","2.69547652708292","0.811222134512699","7.68453415748733",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51.3588500411009","75.3588500411009","-22.6794250205505","0.4253","-14.6711537178563","0.2003","1764","6.34554386391612e-07","-8.00827130269413","0.9425","1725","1.21071602321611e-06",NA,NA,NA,NA,"0.814327001571655"
"6","Baharoglu_Amp","hom_fitm_unconstr","failed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Inf","Inf","-Inf","0","-Inf","0","0","1","-Inf","0","0","1",NA,NA,NA,NA,"0"
"7","Baharoglu_Amp","het_zero_div","success",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.70234836668172e-08","6.92933992622292e-09","2.99926325109173e-08","8.55626269500439","2.37125944336804","25.7923949116032","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"46.7445459968696","52.7445459968696","-21.3722729984348","0.6433","-14.3738854960927","0.3724","1764","2.30591952018896e-06","-6.99838750234204","0.9602","1725","1.59231935564516e-06",NA,NA,NA,NA,"0.402134895324707"
"8","Baharoglu_Amp","het_div","failed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Inf","Inf","-Inf","0","-Inf","0","0","1","-Inf","0","0","1",NA,NA,NA,NA,"0"
"9","Baharoglu_Amp","het_zero_div_fon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Inf","Inf","-Inf","0","-Inf","0","0","1","-Inf","0","0","1",NA,NA,NA,NA,"0"
"10","Baharoglu_Amp","het_div_fon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Inf","Inf","-Inf","0","-Inf","0","0","1","-Inf","0","0","1",NA,NA,NA,NA,"0"
