"","ID","p_value_UT_max","p_value_test_min","M_HOM0.1","M_HOM0.2","M_HOM0.3","hom_by_AIC","M_AIC.1","M_AIC.2","M_AIC.3","p_value_UT_hom_AIC","p_value_S_hom_AIC","hom_by_AIC_corr","M_AIC_corr.1","M_AIC_corr.2","M_AIC_corr.3","p_value_UT_hom_AIC_corr","p_value_S_hom_AIC_corr","het_by_AIC","S_AIC.1","S_AIC.2","S_AIC.3","p_value_UT_het_AIC","p_value_S_het_AIC","het_by_AIC_corr","S_AIC_corr.1","S_AIC_corr.2","S_AIC_corr.3","p_value_UT_het_AIC_corr","p_value_S_het_AIC_corr","by_AIC","Delta_AIC","by_AIC_corr","Delta_AIC_corr"
"1","Baharoglu_Amp",0.4286,0.2428,2.587422e+00,1.137911e+00,5.913619e+00,"HOM0",  2.58742235,  1.13791060,  5.91361937,0.4286,0.9279,"N0",1.000000e+00,1.000000e+00,1.000000e+00,0.4826,0.2473,"HET0",8.556263e+00,2.371259e+00,2.579239e+01,0.3620,0.9617,"HET0",8.556263e+00,2.371259e+00,2.579239e+01,0.3620,0.9617,"HET0",  3.216058700,"HET0",  0.328592224
"2","Baharoglu_Cip",0.4824,0.0000,4.124259e+00,2.315626e+00,9.426099e+00,"HOM0",  4.12425906,  2.31562630,  9.42609862,0.4184,0.8469,"HOM0",4.124259e+00,2.315626e+00,9.426099e+00,0.4184,0.8469,"HET0",1.087527e+01,4.528378e+00,2.559054e+01,0.4661,0.2806,"HET0",1.087527e+01,4.528378e+00,2.559054e+01,0.4661,0.2806,"HET0",  0.107219724,"HET0",  0.107219724
"3","Baharoglu_Cm",0.4808,0.3134,1.775955e+00,7.408774e-01,4.058991e+00,"N0",  1.00000000,  1.00000000,  1.00000000,0.4792,0.4077,"N0",1.000000e+00,1.000000e+00,1.000000e+00,0.4792,0.4077,"HET0",3.225282e+00,0.000000e+00,1.097647e+01,0.4177,0.5144,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.4792,0.4077,"HET0",  0.163612320,"N0",  0.000000000
"4","Baharoglu_Genta",0.4875,0.1911,1.855659e+00,7.182936e-01,4.241156e+00,"N0",  1.00000000,  1.00000000,  1.00000000,0.4874,0.2100,"N0",1.000000e+00,1.000000e+00,1.000000e+00,0.4874,0.2100,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.4874,0.2100,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.4874,0.2100,"N0",  0.000000000,"N0",  0.000000000
"5","Baharoglu_Kan",0.4755,0.4901,1.481989e+00,6.245892e-01,3.387123e+00,"N0",  1.00000000,  1.00000000,  1.00000000,0.4751,0.6220,"N0",1.000000e+00,1.000000e+00,1.000000e+00,0.4751,0.6220,"HET0",3.210964e+00,0.000000e+00,1.266246e+01,0.3610,0.8282,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.4751,0.6220,"HET0",  0.099712085,"N0",  0.000000000
"6","Baharoglu_MMC",0.4840,0.0000,2.388953e+00,1.230421e+00,5.460012e+00,"HOM0",  2.38895279,  1.23042071,  5.46001216,0.4111,0.3756,"N0",1.000000e+00,1.000000e+00,1.000000e+00,0.4779,0.1172,"HET0",5.394511e+00,6.455462e-01,1.570244e+01,0.4134,0.1805,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.4779,0.1172,"HET0",  0.735170868,"N0",  0.000000000
"7","Baharoglu_Neo",0.4783,0.2234,2.404399e+00,1.084262e+00,5.495315e+00,"HOM2", 10.19027260,  4.52978200, 43.76205535,0.4783,0.8337,"N0",1.000000e+00,1.000000e+00,1.000000e+00,0.4860,0.2952,"HET0",8.069372e+00,1.989445e+00,2.495786e+01,0.3588,0.9458,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.4860,0.2952,"HET0",  1.365768602,"N0",  0.000000000
"8","Baharoglu_Rif",0.4834,0.2055,2.680188e+00,1.183159e+00,6.125638e+00,"HOM0",  2.68018807,  1.18315920,  6.12563777,0.4215,0.8691,"N0",1.000000e+00,1.000000e+00,1.000000e+00,0.4849,0.2158,"HET0",8.058631e+00,1.990710e+00,2.383728e+01,0.3926,0.6798,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.4849,0.2158,"HET0",  2.297082405,"N0",  0.000000000
"9","Baharoglu_Spec",0.4866,0.1787,2.313337e+00,9.490362e-01,5.287191e+00,"HOM0",  2.31333723,  0.94903618,  5.28719087,0.4298,0.5452,"N0",1.000000e+00,1.000000e+00,1.000000e+00,0.4930,0.1949,"HET0",4.218720e+00,0.000000e+00,1.278054e+01,0.4356,0.2897,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.4930,0.1949,"HET0",  0.026727792,"N0",  0.000000000
"10","Baharoglu_Tet",0.4812,0.1187,2.659048e+00,1.222845e+00,6.077321e+00,"HOM0",  2.65904795,  1.22284535,  6.07732149,0.4297,0.8054,"N0",1.000000e+00,1.000000e+00,1.000000e+00,0.4838,0.2006,"HET0",7.303377e+00,1.534395e+00,2.008792e+01,0.4178,0.5073,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.4838,0.2006,"HET0",  1.426605467,"N0",  0.000000000
"11","Baharoglu_Tob",0.4835,0.5278,1.213385e+00,4.415568e-01,2.773221e+00,"N0",  1.00000000,  1.00000000,  1.00000000,0.4564,0.5510,"N0",1.000000e+00,1.000000e+00,1.000000e+00,0.4564,0.5510,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.4564,0.5510,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.4564,0.5510,"N0",  0.000000000,"N0",  0.000000000
"12","Baharoglu_Trim",0.4171,0.0141,2.111908e+01,6.858880e+00,4.826819e+01,"HOM0", 21.11907873,  6.85887978, 48.26818978,0.4171,0.8505,"HOM0",2.111908e+01,6.858880e+00,4.826819e+01,0.4171,0.8505,"HET0",5.760178e+01,2.633209e+01,1.470739e+02,0.4133,0.9593,"HET0",5.760178e+01,2.633209e+01,1.470739e+02,0.4133,0.9593,"HET0",  3.813445808,"HET0",  3.813445808
"13","Bulssico_Cip_1",0.4498,0.0000,6.663192e+00,5.695180e+00,7.756797e+00,"HOM0",  6.66319233,  5.69517973,  7.75679685,0.3707,0.9502,"HOM0",6.663192e+00,5.695180e+00,7.756797e+00,0.3707,0.9502,"HET2",4.581588e+01,2.439356e+01,6.037431e+03,0.3731,0.5672,"HET2",4.581588e+01,2.439356e+01,6.037431e+03,0.3731,0.5672,"HOM0", -0.795691176,"HOM0", -0.972729342
"14","Bulssico_Cip_2",0.4977,0.0001,2.700514e+00,2.313021e+00,3.150952e+00,"HOM2",  3.12812309,  2.58918013,  3.82746160,0.4977,0.4887,"HOM2",3.128123e+00,2.589180e+00,3.827462e+00,0.4977,0.4887,"HET2",1.377621e+01,7.551816e+00,9.022510e+01,0.4663,0.4989,"HET2",1.377621e+01,7.551816e+00,9.022510e+01,0.4663,0.4989,"HOM2", -0.081104312,"HOM2", -0.081104312
"15","Bulssico_Cip_3",0.6489,0.0000,8.113939e+00,6.673102e+00,9.708195e+00,"HOM0",  8.11393903,  6.67310193,  9.70819458,0.6489,0.3893,"HOM0",8.113939e+00,6.673102e+00,9.708195e+00,0.6489,0.3893,"HET2",7.423971e+02,1.019178e+02,2.084636e+05,0.6618,0.5319,"HET2",7.423971e+02,1.019178e+02,2.084636e+05,0.6618,0.5319,"HOM0", -3.813133469,"HOM0", -4.004705400
"16","Bulssico_Cip",0.5042,0.0000,4.241353e+00,3.847450e+00,4.653149e+00,"HOM0",  4.24135320,  3.84745039,  4.65314921,0.4053,0.8128,"HOM0",4.241353e+00,3.847450e+00,4.653149e+00,0.4053,0.8128,"HET2",1.208676e+02,3.138392e+01,2.105781e+04,0.4138,0.6339,"HET2",1.208676e+02,3.138392e+01,2.105781e+04,0.4138,0.6339,"HOM0", -3.609780289,"HOM0", -3.669336000
