"","ID","n_cultures","n_cultures_baseline","n_cultures_tot","plated_fraction","plated_fraction_baseline","mean_Nf","CV_Nf","mean_Nf_baseline","CV_Nf_baseline"
"1","Baharoglu_Amp",2,3,5,0.4,0.4,6.4e+08,0.353553390593274,993333333.333333,0.211489278611929
"2","Baharoglu_Cip",3,3,6,0.4,0.4,676666666.666667,0.258655873750248,993333333.333333,0.211489278611929
"3","Baharoglu_Cm",2,3,5,0.4,0.4,8.7e+08,0.146297954728251,993333333.333333,0.211489278611929
"4","Baharoglu_Genta",2,3,5,0.4,0.4,7.8e+08,0.398880748361642,993333333.333333,0.211489278611929
"5","Baharoglu_Kan",2,3,5,0.4,0.4,9.4e+08,0.391165453422345,993333333.333333,0.211489278611929
"6","Baharoglu_MMC",3,3,6,0.4,0.4,766666666.666667,0.0376532784254104,993333333.333333,0.211489278611929
"7","Baharoglu_Neo",2,3,5,0.4,0.4,8e+08,0.424264068711929,993333333.333333,0.211489278611929
"8","Baharoglu_Rif",2,3,5,0.4,0.4,6.7e+08,0.274399646430601,993333333.333333,0.211489278611929
"9","Baharoglu_Spec",2,3,5,0.4,0.4,7.23e+08,0.103669873866907,993333333.333333,0.211489278611929
"10","Baharoglu_Tet",2,3,5,0.4,0.4,9.32e+08,0.0424871027322389,993333333.333333,0.211489278611929
"11","Baharoglu_Tob",2,3,5,0.4,0.4,7.3e+08,0.406828559038836,993333333.333333,0.211489278611929
"12","Baharoglu_Trim",2,3,5,0.4,0.4,2.1e+07,0.471404520791032,993333333.333333,0.211489278611929
"13","Bulssico_Cip_1",80,84,164,1,1,48802500,NA,386016666.666667,NA
"14","Bulssico_Cip_2",80,80,160,1,1,136912500,NA,416620833.333333,NA
"15","Bulssico_Cip_3",80,72,152,1,1,29975625,NA,410958750,NA
"16","Bulssico_Cip",240,236,476,1,1,71896875,0.79400748869966,404532083.333333,0.0402510024032389
"17","Cortes_Cm_opto",31,30,61,1,1,2242903225.80645,0.270998008336149,1954333333.33333,0.304291644106144
"18","Cortes_Cm_rif",29,29,58,1,1,2180172413.7931,0.428853987259737,1964137931.03448,0.228956639088121
"19","Cortes_Ery_opto",31,30,61,1,1,2537741935.48387,0.228827364865176,1954333333.33333,0.304291644106144
"20","Cortes_Ery_rif",18,29,47,1,1,1.925e+09,0.169779320325975,1964137931.03448,0.228956639088121
"21","Cortes_Pen_opto",31,30,61,1,1,704677419.354839,0.405198733794069,1954333333.33333,0.304291644106144
"22","Cortes_Pen_rif",27,29,56,1,1,664259259.259259,0.400111696691603,1964137931.03448,0.228956639088121
"23","Dapa_MMC_24h",18,62,80,0.04,0.04,226944444.444444,0.181732325447281,2409076923.07692,0.211740953469191
"24","Dapa_MMC_48h",18,65,83,0.04,0.04,226944444.444444,0.181732325447281,2409076923.07692,0.211740953469191
